ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,Supplier,LaunchDate,ProductStatus
PROD00359,Comfort Sofa Premium 4,Furniture,Sofa,Lenovo,36540.00,58800.00,South India Distribution,2023-08-17,Active
PROD00490,PowerGuard 1000 5,Office Equipment,UPS, Voltas ,67030.00,84200.00,Metro Wholesale,23/10/2025,Active
PROD00158,PowerCharge GaN 3,Mobile & Accessories,Charger,Godrej,1220.00,1500.00,Eastern Trade Links,2022-04-15,Active
PROD00373,BookSpace Wide 3,Furniture,Bookshelf,NexTech,23260.00,32500.00,Metro Wholesale,2025-12-29,Active
PROD00154,FastCharge 65W 4,Mobile & Accessories,Charger,Whirlpool,21200.00,32300.00,Global Tech Distributors,2023-10-05,Active
PROD00369,BookSpace 5Tier 4,Furniture,Bookshelf,Lenovo,17410.00,21900.00,Prime Distribution India,2024-05-30,Active
PROD00131,AirSound Mini 1,Mobile & Accessories,Earbuds,IFB,3680.00,4400.00,Metro Wholesale,2023-01-27,Active
PROD00444,VisionCast 3000 4,OFFICE EQUIPMENT,Projector,IFB,31230.00,49600.00,Eastern Trade Links,2024-07-09,Active
PROD00309,ErgoOffice Pro 4,Furniture,Office Chair,Acer,12060.00,17600.00,Eastern Trade Links,2022-10-21,Active
PROD00269,HeatWave 25L 4,Home Appliances,Microwave,IFB,62670.00,93600.00,Western Trade House,2024-03-04,Active
PROD00268,HeatWave 25L 3,Home Appliances,Microwave,Whirlpool,80050.00,93500.00,Bharat Electronics Supply,2022-04-05,Active
PROD00500,PowerGuard Online 5,Office Equipment,UPS,Asus,51280.00,60300.00,Western Trade House,2025-02-02,Active
PROD00047,SmartView 55 2,Electronics,Television,Boat,28440.00,33400.00,South India Distribution,2026-01-06,Active
PROD00118,NexPhone Lite 3,Mobile & Accessories,Smartphone,Ikea,35540.00,45200.00,Eastern Trade Links,2022-06-09,Discontinued
PROD00454,VISIONCAST MINI 4,Office Equipment,Projector,LG,54350.00,62600.00,Metro Wholesale,2023-02-01,Active
PROD00274,heatwave grill 4,Home Appliances,Microwave,Epson,29660.00,39000.00,Metro Wholesale,2024-11-26,Active
PROD00171,PowerGo Slim 1,Mobile & Accessories,Power Bank,Logitech,46340.00,68400.00,Eastern Trade Links,2024-08-29,Active
PROD00144,FastCharge 20W 4,Mobile & Accessories,Charger,Asus,34460.00,39600.00,Western Trade House,2025-04-23,Active
PROD00156,POWERCHARGE GAN 1,MOBILE & ACCESSORIES,Charger,Sony,58420.00,74500.00,Western Trade House,2023-03-21,Active
PROD00033,ViewMax Ultra 32 3,Electronics,Monitor,NexTech,54370.00,71900.00,Urban Retail Supply,2025-10-30,Active
PROD00498,PowerGuard Online 3,Office Equipment,UPS,Logitech,58540.00,92300.00,Global Tech Distributors,2024-08-16,Active
PROD00325,WorkDesk 120 5,Furniture,Desk,NexTech,16650.00,26600.00,Western Trade House,2022-08-30,Active
PROD00457,VisionCast Pro 2,Office Equipment,Projector,Epson,47870.00,70200.00,,2022-04-18,Active
PROD00259,WashPro FrontLoad 4,Home Appliances,Washing Machine,Asus,23190.00,30500.00,Prime Distribution India,2025-11-03,Active
PROD00249,WashPro 7KG 4,Home Appliances,Washing Machine,LG,27810.00,40700.00,National Consumer Products,2022-07-04,Active
PROD00054,SmartView 65 4,Electronics,Television,Sony,69670.00,94900.00,Bharat Electronics Supply,2023-12-19,Active
